# Angular number densities per z bin ("number per bin")
# i.e., the number of galaxies per sq.deg. that have zmin<z<zmax.
# Both imaging and spectroscopic weights are included.
# The dz size is 0.01.
# 
# Columns are: redshift, dNdz (sample 1), dNdz (sample 2), dNdz (sample 3), dNdz (sample 4)
5.000000000000000104e-03 7.431818181818181795e-04 1.256818181818181862e-03 1.256818181818181862e-03 1.000000000000000021e-03
1.499999999999999771e-02 7.431818181818181795e-04 5.136363636363637910e-04 1.486363636363636359e-03 1.486363636363636359e-03
2.500000000000000139e-02 2.229545454545454539e-03 1.486363636363636359e-03 2.000000000000000042e-03 3.284090909090909682e-03
3.500000000000000333e-02 4.513636363636363766e-03 4.513636363636363766e-03 3.770454545454545586e-03 4.256818181818182792e-03
4.499999999999999833e-02 5.229545454545454601e-03 5.743181818181818284e-03 2.743181818181818221e-03 2.000000000000000042e-03
5.500000000000000722e-02 7.459090909090908272e-03 7.256818181818181987e-03 4.513636363636363766e-03 7.770454545454546537e-03
6.500000000000000222e-02 6.715909090909090960e-03 1.133863636363636671e-02 5.000000000000000104e-03 3.486363636363636834e-03
7.500000000000001110e-02 1.448636363636363576e-02 1.379772727272727401e-02 8.513636363636365584e-03 4.540909090909091110e-03
8.499999999999997835e-02 1.668863636363636382e-02 1.479772727272727316e-02 1.022954545454545471e-02 9.540909090909092949e-03
9.500000000000000111e-02 1.068863636363636370e-02 1.454090909090909045e-02 9.486363636363636526e-03 8.202272727272726452e-03
1.050000000000000100e-01 1.851363636363636406e-02 1.545909090909091017e-02 8.027272727272726643e-03 9.513636363636364737e-03
1.149999999999999911e-01 1.493409090909091248e-02 1.279772727272727138e-02 9.027272727272727532e-03 1.005454545454545490e-02
1.250000000000000000e-01 1.402727272727272850e-02 1.397272727272727208e-02 9.027272727272727532e-03 8.027272727272726643e-03
1.350000000000000089e-01 1.577045454545454584e-02 1.525681818181818042e-02 7.972727272727271955e-03 1.028409090909090939e-02
1.450000000000000178e-01 1.248636363636363746e-02 1.431136363636363769e-02 7.513636363636364696e-03 8.513636363636365584e-03
1.549999999999999989e-01 1.705454545454545418e-02 1.174318181818181928e-02 5.256818181818181945e-03 8.999999999999999320e-03
1.650000000000000078e-01 1.451363636363636397e-02 1.477045454545454668e-02 7.256818181818181987e-03 6.256818181818181966e-03
1.749999999999999889e-01 1.454090909090909045e-02 1.471590909090909199e-02 1.068863636363636370e-02 1.108181818181818400e-02
1.850000000000000255e-01 1.743181818181818027e-02 1.843181818181818116e-02 1.228409090909091117e-02 1.097272727272727288e-02
1.950000000000000067e-01 2.105454545454545079e-02 1.679772727272726973e-02 1.579772727272727231e-02 1.051363636363636389e-02
