# Angular number densities per z bin ("number per bin")
# i.e., the number of galaxies per sq.deg. that have zmin<z<zmax.
# Both imaging and spectroscopic weights are included.
# The dz size is 0.01.
# 
# Columns are: redshift, dNdz (sample 1), dNdz (sample 2), dNdz (sample 3), dNdz (sample 4)
5.000000000000000104e-03 0.000000000000000000e+00 2.000000000000000042e-03 2.000000000000000042e-03 1.000000000000000021e-03
1.499999999999999944e-02 0.000000000000000000e+00 2.000000000000000042e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000139e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03 7.000000000000000146e-03
3.500000000000000333e-02 6.000000000000000125e-03 6.000000000000000125e-03 6.000000000000000125e-03 5.000000000000000104e-03
4.499999999999999833e-02 3.000000000000000062e-03 5.000000000000000104e-03 2.000000000000000042e-03 2.000000000000000042e-03
5.500000000000000028e-02 3.000000000000000062e-03 8.000000000000000167e-03 6.000000000000000125e-03 1.000000000000000021e-02
6.500000000000000222e-02 3.000000000000000062e-03 2.100000000000000130e-02 5.000000000000000104e-03 2.000000000000000042e-03
7.500000000000001110e-02 1.299999999999999940e-02 1.899999999999999953e-02 1.000000000000000021e-02 8.999999999999999320e-03
8.499999999999999223e-02 1.000000000000000021e-02 2.000000000000000042e-02 8.000000000000000167e-03 1.400000000000000029e-02
9.500000000000000111e-02 4.000000000000000083e-03 1.899999999999999953e-02 8.000000000000000167e-03 3.000000000000000062e-03
1.050000000000000100e-01 2.000000000000000042e-02 1.099999999999999936e-02 1.099999999999999936e-02 1.099999999999999936e-02
1.149999999999999911e-01 3.500000000000000333e-02 1.799999999999999864e-02 1.200000000000000025e-02 1.600000000000000033e-02
1.250000000000000000e-01 1.700000000000000122e-02 1.099999999999999936e-02 1.200000000000000025e-02 1.099999999999999936e-02
1.350000000000000089e-01 1.799999999999999864e-02 1.600000000000000033e-02 5.000000000000000104e-03 1.400000000000000029e-02
1.450000000000000178e-01 1.099999999999999936e-02 2.100000000000000130e-02 8.999999999999999320e-03 1.000000000000000021e-02
1.549999999999999989e-01 2.299999999999999961e-02 1.099999999999999936e-02 6.000000000000000125e-03 8.999999999999999320e-03
1.650000000000000078e-01 1.600000000000000033e-02 1.700000000000000122e-02 8.000000000000000167e-03 7.000000000000000146e-03
1.749999999999999889e-01 1.899999999999999953e-02 1.099999999999999936e-02 4.000000000000000083e-03 2.000000000000000042e-02
1.849999999999999978e-01 1.000000000000000021e-02 1.099999999999999936e-02 1.600000000000000033e-02 8.000000000000000167e-03
1.950000000000000067e-01 2.699999999999999969e-02 2.199999999999999872e-02 2.100000000000000130e-02 1.200000000000000025e-02
2.050000000000000155e-01 2.100000000000000130e-02 1.899999999999999953e-02 3.000000000000000062e-03 2.299999999999999961e-02
2.149999999999999967e-01 2.800000000000000058e-02 2.500000000000000139e-02 1.099999999999999936e-02 1.400000000000000029e-02
2.250000000000000056e-01 3.099999999999999978e-02 1.400000000000000029e-02 1.899999999999999953e-02 8.000000000000000167e-03
2.349999999999999867e-01 5.199999999999999761e-02 2.199999999999999872e-02 8.999999999999999320e-03 8.000000000000000167e-03
2.449999999999999956e-01 3.200000000000000067e-02 2.100000000000000130e-02 1.000000000000000021e-02 8.999999999999999320e-03
2.550000000000000044e-01 5.099999999999999672e-02 2.100000000000000130e-02 1.899999999999999953e-02 1.499999999999999944e-02
2.650000000000000133e-01 5.000000000000000278e-02 2.599999999999999881e-02 1.499999999999999944e-02 8.999999999999999320e-03
2.750000000000000222e-01 8.200000000000000344e-02 2.500000000000000139e-02 1.099999999999999936e-02 1.000000000000000021e-02
2.850000000000000311e-01 1.260000000000000009e-01 2.599999999999999881e-02 8.999999999999999320e-03 8.999999999999999320e-03
2.949999999999999845e-01 1.260000000000000009e-01 2.900000000000000147e-02 1.200000000000000025e-02 8.000000000000000167e-03
3.049999999999999933e-01 1.680000000000000104e-01 3.899999999999999994e-02 1.000000000000000021e-02 7.000000000000000146e-03
3.150000000000000022e-01 1.880000000000000004e-01 5.899999999999999689e-02 1.899999999999999953e-02 2.199999999999999872e-02
