# Planck lensing noise curves.
# These curves have been low-pass filtered.
#    ell           Noise       Sig+Noise
       0     2.19381e-07     2.19381e-07
       1     2.17587e-07     2.77083e-07
       2     2.16264e-07     2.96580e-07
       3     2.14873e-07     3.12381e-07
       4     2.15439e-07     3.27704e-07
       5     2.15668e-07     3.40730e-07
       6     2.15194e-07     3.51411e-07
       7     2.14496e-07     3.60520e-07
       8     2.14150e-07     3.68850e-07
       9     2.14087e-07     3.76507e-07
      10     2.13861e-07     3.83146e-07
      11     2.24188e-07     3.99645e-07
      12     2.19054e-07     4.00026e-07
      13     2.12617e-07     3.98521e-07
      14     2.11868e-07     4.02186e-07
      15     2.11432e-07     4.05724e-07
      16     2.09456e-07     4.07313e-07
      17     2.09156e-07     4.10203e-07
      18     2.08565e-07     4.12486e-07
      19     2.07927e-07     4.14409e-07
      20     2.07686e-07     4.16429e-07
      21     2.08230e-07     4.18984e-07
      22     2.08121e-07     4.20665e-07
      23     2.08679e-07     4.22794e-07
      24     2.07990e-07     4.23487e-07
      25     2.07977e-07     4.24653e-07
      26     2.08466e-07     4.26163e-07
      27     2.09094e-07     4.27655e-07
      28     2.09308e-07     4.28592e-07
      29     2.09809e-07     4.29673e-07
      30     2.09590e-07     4.29926e-07
      31     2.09951e-07     4.30616e-07
      32     2.09995e-07     4.30912e-07
      33     2.10454e-07     4.31512e-07
      34     2.11449e-07     4.32554e-07
      35     2.11302e-07     4.32376e-07
      36     2.11888e-07     4.32836e-07
      37     2.12287e-07     4.33047e-07
      38     2.12818e-07     4.33311e-07
      39     2.13570e-07     4.33732e-07
      40     2.13764e-07     4.33549e-07
      41     2.13991e-07     4.33337e-07
      42     2.15184e-07     4.34028e-07
      43     2.15151e-07     4.33460e-07
      44     2.15386e-07     4.33099e-07
      45     2.15390e-07     4.32474e-07
      46     2.15397e-07     4.31806e-07
      47     2.15150e-07     4.30852e-07
      48     2.15513e-07     4.30476e-07
      49     2.15597e-07     4.29791e-07
      50     2.16567e-07     4.29960e-07
      51     2.16840e-07     4.29400e-07
      52     2.17668e-07     4.29379e-07
      53     2.18147e-07     4.28979e-07
      54     2.18106e-07     4.28043e-07
      55     2.18100e-07     4.27111e-07
      56     2.18829e-07     4.26897e-07
      57     2.19452e-07     4.26577e-07
      58     2.19529e-07     4.25681e-07
      59     2.20221e-07     4.25383e-07
      60     2.21069e-07     4.25241e-07
      61     2.21713e-07     4.24880e-07
      62     2.22016e-07     4.24162e-07
      63     2.22985e-07     4.24110e-07
      64     2.23845e-07     4.23933e-07
      65     2.24302e-07     4.23337e-07
      66     2.24609e-07     4.22593e-07
      67     2.25694e-07     4.22625e-07
      68     2.26446e-07     4.22309e-07
      69     2.26690e-07     4.21485e-07
      70     2.26989e-07     4.20715e-07
      71     2.27914e-07     4.20556e-07
      72     2.28332e-07     4.19906e-07
      73     2.29151e-07     4.19641e-07
      74     2.30105e-07     4.19511e-07
      75     2.31556e-07     4.19878e-07
      76     2.31943e-07     4.19182e-07
      77     2.32321e-07     4.18476e-07
      78     2.32962e-07     4.18049e-07
      79     2.33158e-07     4.17161e-07
      80     2.33923e-07     4.16843e-07
      81     2.34799e-07     4.16634e-07
      82     2.35848e-07     4.16615e-07
      83     2.36504e-07     4.16203e-07
      84     2.36996e-07     4.15612e-07
      85     2.37642e-07     4.15189e-07
      86     2.38528e-07     4.15022e-07
