# Mock catalog for sample 3
# C_ls averaged over 7 boxes.
#    ell          C_l^gg          C_l^kg
  49.500     2.91316e-05     8.13596e-07
  99.500     1.60000e-05     4.29909e-07
 149.500     1.17842e-05     2.98508e-07
 199.500     8.16206e-06     1.87126e-07
 249.500     6.56083e-06     1.41877e-07
 299.500     5.32953e-06     1.08809e-07
 349.500     4.59102e-06     8.41187e-08
 399.500     4.07666e-06     7.16052e-08
 449.500     3.69194e-06     5.55447e-08
 499.500     3.42176e-06     5.03217e-08
 549.500     3.18632e-06     4.25632e-08
 599.500     2.99061e-06     3.72564e-08
 649.500     2.83242e-06     3.33495e-08
 699.500     2.70223e-06     3.00876e-08
 749.500     2.62053e-06     2.66207e-08
 799.500     2.53655e-06     2.44069e-08
 849.500     2.43749e-06     2.34609e-08
 899.500     2.38361e-06     2.11030e-08
 949.500     2.32200e-06     1.93921e-08
 999.500     2.27315e-06     1.84658e-08
